Timestamp,particles_remaining,distance_travelled
17.66992735862732,7926,0.0
22.775774240493774,7488,1.0268668958048832
24.779661417007446,6836,2.6009121954955288
25.293591022491455,6700,2.9965965307602396
26.83891463279724,6455,3.777870264699015
27.782617330551147,6250,4.421388231553339
28.64198637008667,6103,4.982982404589576
29.569931507110596,5837,5.426049790642244
30.373058319091797,5625,6.073368535069997
31.19076418876648,5359,6.61422321523155
31.94570231437683,5144,7.174857474729932
32.948333978652954,4913,7.61184918114153
34.221181869506836,4515,8.433272016209804
35.34746527671814,4030,9.20011683145388
36.18302869796753,3674,9.760834246664423
37.081987380981445,3315,10.570803256181883
39.30004405975342,3108,12.211826259813561
40.135316610336304,2986,12.786809586780935
40.68437671661377,2903,13.19040471549647
41.419320821762085,2756,13.751361031469747
42.31530714035034,2625,14.173574287433508
43.23157215118408,2457,14.789957973232843
43.23242712020874,2457,14.789957973232843
54.57670474052429,2449,14.874320998123176
54.81267809867859,2445,15.005922058388037
56.577192544937134,2220,16.106455124516337
57.86761140823364,1986,17.0148606107544
58.828186988830566,1751,17.694484602847055
60.81478834152222,1521,19.146302883024646
63.31797695159912,1386,21.078143564718896
65.1640076637268,1124,22.50950319033979
65.9148645401001,963,22.997471218874615
65.91545987129211,963,22.997471218874615
76.74010038375854,898,23.065696332017247
77.30646443367004,890,23.26561164314648
79.4419457912445,754,24.849102230349875
81.04823112487793,699,26.00296024384684
81.96414136886597,591,26.535483953746954
83.82810568809509,480,27.916446818878775
84.4999349117279,400,28.48611324836946
84.50059056282043,400,28.48611324836946
90.30565738677979,393,28.564539087517
90.66471743583679,393,28.677284478761983
93.09144687652588,367,30.483950306787936
94.79238319396973,254,31.80472529272088
95.19368433952332,223,32.0897644375663
96.75055980682373,134,33.27474019103656
96.75119924545288,134,33.27474019103656
99.99706506729126,127,33.35592925850599
99.9992663860321,127,33.35592925850599
103.82063055038452,127,33.356015723750474
104.6750214099884,101,33.94803353048435
105.01891827583313,83,34.17777348697972
107.3797390460968,55,35.92476398886343
109.00086426734924,25,37.156758168387626
109.00174760818481,25,37.156758168387626
110.57168006896973,25,37.22768592369021
111.93938159942627,15,38.246820094685816
111.94105362892151,15,38.246820094685816
113.51214003562927,12,38.32785684734355
113.51320004463196,12,38.32785684734355
114.60237288475037,12,38.328056369163605
115.15047144889832,6,38.795548690989406
115.15139055252075,6,38.795548690989406
115.77443838119507,6,38.88018345853735
117.04585766792297,0,39.7222221859081
117.04746294021606,0,39.7222221859081
