Timestamp,total_particles,particles_remaining
2025-09-04T13:05:42.977747,8000,5178
2025-09-04T13:05:43.165043,8000,5148
2025-09-04T13:05:43.352202,8000,5045
2025-09-04T13:05:43.540006,8000,4966
2025-09-04T13:05:43.727115,8000,4890
2025-09-04T13:05:43.914117,8000,4810
2025-09-04T13:05:44.101535,8000,4716
2025-09-04T13:05:44.289065,8000,4606
2025-09-04T13:05:44.476230,8000,4472
2025-09-04T13:05:44.663801,8000,4305
2025-09-04T13:05:44.851064,8000,4142
2025-09-04T13:05:45.038235,8000,3944
2025-09-04T13:05:45.225945,8000,3771
2025-09-04T13:05:45.413445,8000,3582
2025-09-04T13:05:45.601714,8000,3434
2025-09-04T13:05:45.788964,8000,3327
2025-09-04T13:05:45.977693,8000,3243
2025-09-04T13:05:46.164828,8000,3209
2025-09-04T13:05:46.403731,8000,3185
2025-09-04T13:05:46.591083,8000,3157
2025-09-04T13:05:46.778017,8000,3091
2025-09-04T13:05:46.964985,8000,3024
2025-09-04T13:05:47.151752,8000,2961
2025-09-04T13:05:47.338460,8000,2878
2025-09-04T13:05:47.576456,8000,2788
2025-09-04T13:05:47.763197,8000,2742
2025-09-04T13:05:48.051923,8000,2695
2025-09-04T13:05:48.546723,8000,2633
2025-09-04T13:05:48.733344,8000,2575
2025-09-04T13:05:49.278111,8000,2429
2025-09-04T13:05:49.465196,8000,2378
2025-09-04T13:05:49.703146,8000,2341
2025-09-04T13:05:49.941018,8000,2283
2025-09-04T13:05:50.128870,8000,2241
2025-09-04T13:05:50.367965,8000,2200
2025-09-04T13:05:50.606094,8000,2152
2025-09-04T13:05:50.792859,8000,2097
2025-09-04T13:05:51.133700,8000,1968
2025-09-04T13:05:51.579185,8000,1833
2025-09-04T13:05:52.022910,8000,1728
2025-09-04T13:05:52.209859,8000,1700
2025-09-04T13:05:52.397179,8000,1654
2025-09-04T13:05:52.584511,8000,1610
2025-09-04T13:05:52.822414,8000,1572
2025-09-04T13:05:53.009253,8000,1550
2025-09-04T13:05:53.247758,8000,1526
2025-09-04T13:05:53.435030,8000,1509
2025-09-04T13:05:53.621994,8000,1490
2025-09-04T13:05:53.860034,8000,1466
2025-09-04T13:05:54.046831,8000,1443
2025-09-04T13:05:54.233550,8000,1404
2025-09-04T13:05:54.420114,8000,1357
2025-09-04T13:05:54.606896,8000,1354
2025-09-04T13:05:54.848810,8000,1354
2025-09-04T13:05:55.035539,8000,1354
2025-09-04T13:05:55.224532,8000,1354
2025-09-04T13:05:55.411496,8000,1354
2025-09-04T13:05:55.603183,8000,1354
2025-09-04T13:05:55.790260,8000,1354
2025-09-04T13:05:55.977247,8000,1354
2025-09-04T13:05:56.164430,8000,1354
2025-09-04T13:05:56.351418,8000,1334
2025-09-04T13:05:57.252640,8000,1263
2025-09-04T13:05:57.492238,8000,1222
2025-09-04T13:05:57.731124,8000,1198
2025-09-04T13:05:57.918079,8000,1184
2025-09-04T13:05:58.156491,8000,1175
2025-09-04T13:05:58.343669,8000,1174
2025-09-04T13:05:58.532771,8000,1174
2025-09-04T13:05:58.771481,8000,1152
2025-09-04T13:05:58.958455,8000,1138
2025-09-04T13:05:59.612078,8000,1097
2025-09-04T13:05:59.799568,8000,1070
2025-09-04T13:06:00.140073,8000,1029
2025-09-04T13:06:00.326857,8000,986
2025-09-04T13:06:00.668342,8000,920
2025-09-04T13:06:00.855582,8000,852
2025-09-04T13:06:01.042518,8000,780
2025-09-04T13:06:01.230607,8000,726
2025-09-04T13:06:01.417759,8000,672
2025-09-04T13:06:01.604993,8000,586
2025-09-04T13:06:01.792118,8000,495
2025-09-04T13:06:02.031376,8000,401
2025-09-04T13:06:02.221948,8000,382
2025-09-04T13:06:02.460284,8000,379
2025-09-04T13:06:02.647111,8000,375
2025-09-04T13:06:02.834048,8000,326
2025-09-04T13:06:03.021645,8000,262
2025-09-04T13:06:03.726394,8000,138
2025-09-04T13:06:03.913365,8000,103
2025-09-04T13:06:04.205250,8000,51
2025-09-04T13:06:04.712912,8000,26
2025-09-04T13:06:04.902671,8000,26
2025-09-04T13:06:05.092620,8000,26
2025-09-04T13:06:05.282339,8000,0
