Timestamp,total_particles,particles_remaining,distance_travelled
2026-04-17T14:42:53.835150,8000,7889,0.0
2026-04-17T14:42:54.020057,8000,7889,0.11166562032867353
2026-04-17T14:42:54.205664,8000,7889,0.2714130987913499
2026-04-17T14:42:54.390715,8000,7889,0.4446904795590739
2026-04-17T14:42:54.575467,8000,7889,0.5810822624959703
2026-04-17T14:42:54.760362,8000,7889,0.6277169981148687
2026-04-17T14:42:54.945549,8000,7889,0.6578958257127487
2026-04-17T14:42:55.131242,8000,7889,0.6831349821400746
2026-04-17T14:42:55.316452,8000,7889,0.7108006363100955
2026-04-17T14:42:55.501289,8000,7875,0.7370760326629512
2026-04-17T14:42:55.686521,8000,7852,0.7631656822385878
2026-04-17T14:42:55.871603,8000,7769,0.7916100322946734
2026-04-17T14:42:56.056512,8000,7676,0.8191218570111519
2026-04-17T14:42:56.242034,8000,7584,0.8457393467042569
2026-04-17T14:42:56.427298,8000,7508,0.8718225775592172
2026-04-17T14:42:56.612031,8000,7424,0.9008550815678277
2026-04-17T14:42:56.796971,8000,7360,0.9283593486858114
2026-04-17T14:42:56.981903,8000,7306,0.9572671058641385
2026-04-17T14:42:57.166857,8000,7253,0.9868689677572814
2026-04-17T14:42:57.354701,8000,7213,1.0110474633851232
2026-04-17T14:42:57.542588,8000,7185,1.043178037568023
2026-04-17T14:42:57.727989,8000,7172,1.071196652362212
2026-04-17T14:42:58.113438,8000,7168,1.161626704362378
2026-04-17T14:42:58.298262,8000,7151,1.3262368698583438
2026-04-17T14:42:59.694572,8000,6929,1.550680116901446
2026-04-17T14:42:59.879503,8000,6902,1.7424107608356756
2026-04-17T14:43:00.265064,8000,6829,1.9418322888126782
2026-04-17T14:43:00.450144,8000,6772,2.147620610681193
2026-04-17T14:43:00.634940,8000,6752,2.317899270776778
2026-04-17T14:43:00.820680,8000,6752,2.5355416701269355
2026-04-17T14:43:01.207045,8000,6752,2.8098561228755763
2026-04-17T14:43:02.407184,8000,6752,3.0724074569214834
2026-04-17T14:43:02.592141,8000,6752,3.2280869509218113
2026-04-17T14:43:02.777255,8000,6752,3.3809663422684677
2026-04-17T14:43:03.162883,8000,6752,3.4365044442056725
2026-04-17T14:43:03.349396,8000,6752,3.591689583419153
2026-04-17T14:43:03.534128,8000,6735,3.7936464405775987
2026-04-17T14:43:03.719680,8000,6680,4.022632081935993
2026-04-17T14:43:03.905554,8000,6589,4.210154410549234
2026-04-17T14:43:04.090444,8000,6498,4.364167444991364
2026-04-17T14:43:04.275163,8000,6487,4.41173938618971
2026-04-17T14:43:04.461366,8000,6483,4.438345412609889
2026-04-17T14:43:04.846693,8000,6483,4.478203422892261
2026-04-17T14:43:05.031567,8000,6460,4.638272526155185
2026-04-17T14:43:05.216914,8000,6394,4.820384959684733
2026-04-17T14:43:05.402050,8000,6326,4.974131198669489
2026-04-17T14:43:05.587211,8000,6260,5.118191778284099
2026-04-17T14:43:05.772465,8000,6191,5.253563469055986
2026-04-17T14:43:05.957478,8000,6121,5.389391842573939
2026-04-17T14:43:06.142610,8000,6033,5.537865196620209
2026-04-17T14:43:06.328335,8000,5974,5.669156934199291
2026-04-17T14:43:06.513131,8000,5928,5.799289599884952
2026-04-17T14:43:06.698285,8000,5890,5.949989882812346
2026-04-17T14:43:07.598922,8000,5769,6.158449432830917
2026-04-17T14:43:07.784012,8000,5719,6.314374823008152
2026-04-17T14:43:07.969123,8000,5652,6.466218391478035
2026-04-17T14:43:08.357323,8000,5507,6.685526612874083
2026-04-17T14:43:08.542603,8000,5417,6.866685565707887
2026-04-17T14:43:08.727431,8000,5313,7.03799199223412
2026-04-17T14:43:08.912428,8000,5243,7.237918044860635
2026-04-17T14:43:09.097432,8000,5224,7.429450240614759
2026-04-17T14:43:09.483009,8000,5221,7.663908922600352
2026-04-17T14:43:09.667832,8000,5221,7.8394008434818225
2026-04-17T14:43:09.857129,8000,5221,8.061449542286143
2026-04-17T14:43:10.044748,8000,5221,8.272574135428712
2026-04-17T14:43:10.230761,8000,5221,8.477229568827248
2026-04-17T14:43:10.935649,8000,5221,8.750599428466558
2026-04-17T14:43:11.120716,8000,5221,8.992160577754582
2026-04-17T14:43:11.306818,8000,5221,9.210450554757415
2026-04-17T14:43:11.491627,8000,5221,9.4160935828646
2026-04-17T14:43:11.676273,8000,5221,9.650752391085833
2026-04-17T14:43:11.862043,8000,5217,9.776812581133301
2026-04-17T14:43:12.046722,8000,5217,9.807829354194904
2026-04-17T14:43:12.432430,8000,5217,9.847909740391588
2026-04-17T14:43:12.618106,8000,5198,10.033383087514128
2026-04-17T14:43:12.803066,8000,5167,10.226472346353017
2026-04-17T14:43:12.988277,8000,5113,10.411551515145765
2026-04-17T14:43:13.173070,8000,5057,10.606028798387358
2026-04-17T14:43:13.358107,8000,5032,10.765093865430874
2026-04-17T14:43:13.543066,8000,5027,10.947080979895864
2026-04-17T14:43:13.727867,8000,5020,11.0980017509238
2026-04-17T14:43:13.912994,8000,5015,11.251075834321389
2026-04-17T14:43:14.098094,8000,5005,11.384282164947589
2026-04-17T14:43:14.283422,8000,4988,11.459268771455518
2026-04-17T14:43:14.670992,8000,4980,11.519011794462777
2026-04-17T14:43:14.856147,8000,4963,11.64574842242956
2026-04-17T14:43:15.041035,8000,4925,11.798321307139581
2026-04-17T14:43:15.228055,8000,4887,11.929296620636439
2026-04-17T14:43:15.413471,8000,4849,12.064153311518542
2026-04-17T14:43:15.598069,8000,4808,12.222258280501581
2026-04-17T14:43:15.782952,8000,4772,12.373955234040682
2026-04-17T14:43:15.968491,8000,4737,12.524725430691058
2026-04-17T14:43:16.153101,8000,4708,12.681820512978458
2026-04-17T14:43:16.337941,8000,4685,12.855357146315399
2026-04-17T14:43:16.524353,8000,4660,13.046676021720181
2026-04-17T14:43:16.709345,8000,4653,13.224587755576135
2026-04-17T14:43:16.894376,8000,4644,13.408522759694597
2026-04-17T14:43:17.079152,8000,4644,13.63007457146438
2026-04-17T14:43:17.264077,8000,4644,13.827266243140992
2026-04-17T14:43:17.449393,8000,4644,14.018760717384
2026-04-17T14:43:18.290628,8000,4644,14.302678948276018
2026-04-17T14:43:18.476709,8000,4644,14.508993306103656
2026-04-17T14:43:18.661879,8000,4644,14.730049821175221
2026-04-17T14:43:18.847073,8000,4644,14.93501832827229
2026-04-17T14:43:19.032201,8000,4644,15.029286223247986
2026-04-17T14:43:19.216955,8000,4644,15.057877430624087
2026-04-17T14:43:19.602432,8000,4644,15.11106114797745
2026-04-17T14:43:19.787425,8000,4639,15.353406393220112
2026-04-17T14:43:19.973179,8000,4635,15.542413325377252
2026-04-17T14:43:20.157903,8000,4605,15.73141661777557
2026-04-17T14:43:20.343132,8000,4577,15.914459800072894
2026-04-17T14:43:20.528082,8000,4559,16.044643703342278
2026-04-17T14:43:20.712657,8000,4558,16.091319125792996
2026-04-17T14:43:20.898123,8000,4558,16.11623242318821
2026-04-17T14:43:21.283962,8000,4558,16.158464777632066
2026-04-17T14:43:21.469055,8000,4558,16.304930415586274
2026-04-17T14:43:21.653570,8000,4536,16.463813621182908
2026-04-17T14:43:21.838325,8000,4506,16.5896538739428
2026-04-17T14:43:22.023673,8000,4485,16.743570820966614
2026-04-17T14:43:22.208865,8000,4463,16.87584221897062
2026-04-17T14:43:22.394268,8000,4444,17.00764281163114
