Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-16T13:08:37.050851,8000,8000,0.0
2026-03-16T13:08:37.235973,8000,8000,0.08868279637650972
2026-03-16T13:08:37.423316,8000,8000,0.22974984102034585
2026-03-16T13:08:37.608687,8000,8000,0.29358807741670334
2026-03-16T13:08:37.793923,8000,8000,0.3298623490625962
2026-03-16T13:08:37.979197,8000,8000,0.36376983075324737
2026-03-16T13:08:38.164261,8000,8000,0.3915068833362791
2026-03-16T13:08:38.350297,8000,8000,0.42031981678058694
2026-03-16T13:08:38.535568,8000,8000,0.44842401899343587
2026-03-16T13:08:38.720676,8000,8000,0.4811576215492058
2026-03-16T13:08:38.907786,8000,8000,0.5113712700234473
2026-03-16T13:08:39.093142,8000,8000,0.5412079562597696
2026-03-16T13:08:39.278119,8000,8000,0.5747333574084812
2026-03-16T13:08:39.463463,8000,8000,0.6031958958012997
2026-03-16T13:08:39.648690,8000,8000,0.6330242091316295
2026-03-16T13:08:39.834326,8000,8000,0.6610047141495511
2026-03-16T13:08:40.019641,8000,8000,0.6915151144684094
2026-03-16T13:08:40.205470,8000,8000,0.7239637208631282
2026-03-16T13:08:40.391232,8000,8000,0.7534922508615979
2026-03-16T13:08:40.576178,8000,8000,0.7878575824546403
2026-03-16T13:08:40.761590,8000,8000,0.8196496542883737
2026-03-16T13:08:40.947440,8000,7990,0.8501078507115803
2026-03-16T13:08:41.132612,8000,7939,0.8804887104412631
2026-03-16T13:08:41.317935,8000,7841,0.9150071265184015
2026-03-16T13:08:41.502999,8000,7692,0.946568022617948
2026-03-16T13:08:41.688352,8000,7529,0.9761113455896064
2026-03-16T13:08:41.874394,8000,7321,1.0097141045663525
2026-03-16T13:08:42.062276,8000,7109,1.0419624986146347
2026-03-16T13:08:42.248865,8000,6888,1.086573821409416
2026-03-16T13:08:42.448966,8000,6683,1.1858437318254498
2026-03-16T13:08:42.634290,8000,6459,1.3120137223642625
2026-03-16T13:08:42.822202,8000,6205,1.4200098076088787
2026-03-16T13:08:43.009019,8000,5968,1.4975261110005078
2026-03-16T13:08:43.204852,8000,5697,1.582602833927914
2026-03-16T13:08:43.401521,8000,5506,1.6863075566320234
2026-03-16T13:08:43.587757,8000,5373,1.7967007975669782
2026-03-16T13:08:43.773818,8000,5244,1.910589737241734
2026-03-16T13:08:43.959515,8000,5126,2.018934438144772
2026-03-16T13:08:44.161628,8000,5025,2.099249817454055
2026-03-16T13:08:44.347957,8000,4917,2.222771251348089
2026-03-16T13:08:44.534347,8000,4798,2.3409794762186533
2026-03-16T13:08:44.720421,8000,4659,2.459614954827182
2026-03-16T13:08:44.907006,8000,4498,2.540693074426525
2026-03-16T13:08:45.106992,8000,4328,2.616940311853064
2026-03-16T13:08:45.313607,8000,4173,2.692208318310195
2026-03-16T13:08:45.515357,8000,3966,2.786362175391894
2026-03-16T13:08:45.714928,8000,3783,2.889300031012446
2026-03-16T13:08:45.899856,8000,3614,3.0506548350465366
2026-03-16T13:08:46.088630,8000,3484,3.139907566524448
2026-03-16T13:08:46.274480,8000,3340,3.243808090037475
2026-03-16T13:08:46.474351,8000,3200,3.3261105998086706
2026-03-16T13:08:46.659367,8000,3099,3.4629384351879917
2026-03-16T13:08:46.846225,8000,2981,3.5812744193692554
2026-03-16T13:08:47.032249,8000,2866,3.688745590517565
2026-03-16T13:08:47.221152,8000,2736,3.7879555944611036
2026-03-16T13:08:47.416876,8000,2598,3.869273079944827
2026-03-16T13:08:47.604523,8000,2489,4.007786597088496
2026-03-16T13:08:47.790817,8000,2383,4.121226330682321
2026-03-16T13:08:47.976309,8000,2291,4.221809166284844
2026-03-16T13:08:48.180349,8000,2185,4.316557892832954
2026-03-16T13:08:48.370882,8000,2097,4.4272142663269545
2026-03-16T13:08:48.556979,8000,2010,4.516060342185218
2026-03-16T13:08:48.754459,8000,1927,4.596579287638147
2026-03-16T13:08:48.940781,8000,1817,4.696946081487187
2026-03-16T13:08:49.137090,8000,1709,4.781795827029768
2026-03-16T13:08:49.322193,8000,1623,4.925523348466858
2026-03-16T13:08:49.507684,8000,1505,5.058228953550809
2026-03-16T13:08:49.693664,8000,1397,5.171629895134009
2026-03-16T13:08:49.882641,8000,1295,5.2842510287772155
2026-03-16T13:08:50.068751,8000,1225,5.366632103612965
2026-03-16T13:08:50.271309,8000,1151,5.448844290279061
2026-03-16T13:08:50.457062,8000,1139,5.573984023446941
2026-03-16T13:08:50.643157,8000,1096,5.7191276257751635
2026-03-16T13:08:50.828655,8000,1049,5.83468398556569
2026-03-16T13:08:51.015515,8000,991,5.95450119360097
2026-03-16T13:08:51.202705,8000,906,6.096436744078767
2026-03-16T13:08:51.388361,8000,823,6.2202223937252565
2026-03-16T13:08:51.574015,8000,737,6.329677229836989
2026-03-16T13:08:51.760795,8000,631,6.435219401207398
2026-03-16T13:08:52.132021,8000,474,6.577619530680046
2026-03-16T13:08:52.321869,8000,399,6.646931035247756
2026-03-16T13:08:52.729832,8000,224,6.77904214619567
2026-03-16T13:08:52.914916,8000,196,6.857788055445957
2026-03-16T13:08:53.390200,8000,102,6.974529964473416
2026-03-16T13:08:53.575243,8000,90,7.051297793381543
2026-03-16T13:08:53.995123,8000,38,7.151653084867661
2026-03-16T13:08:54.183608,8000,30,7.258189542497524
2026-03-16T13:08:54.392192,8000,19,7.369254910267958
2026-03-16T13:08:54.580866,8000,19,7.42877484511841
2026-03-16T13:08:54.766450,8000,19,7.539542543412304
