Timestamp,total_particles,particles_remaining
2025-09-04T13:21:23.707052,8000,8000
2025-09-04T13:21:23.894723,8000,8000
2025-09-04T13:21:24.081130,8000,8000
2025-09-04T13:21:24.265107,8000,8000
2025-09-04T13:21:24.450439,8000,8000
2025-09-04T13:21:24.634475,8000,8000
2025-09-04T13:21:24.818514,8000,8000
2025-09-04T13:21:25.004477,8000,8000
2025-09-04T13:21:25.188733,8000,8000
2025-09-04T13:21:25.373049,8000,7897
2025-09-04T13:21:25.557372,8000,7868
2025-09-04T13:21:25.741440,8000,7840
2025-09-04T13:21:25.925449,8000,7809
2025-09-04T13:21:26.110049,8000,7774
2025-09-04T13:21:26.294344,8000,7751
2025-09-04T13:21:26.478933,8000,7726
2025-09-04T13:21:26.662992,8000,7704
2025-09-04T13:21:26.846934,8000,7685
2025-09-04T13:21:27.031696,8000,7663
2025-09-04T13:21:27.215558,8000,7617
2025-09-04T13:21:27.399551,8000,7553
2025-09-04T13:21:27.584258,8000,7505
2025-09-04T13:21:27.768067,8000,7453
2025-09-04T13:21:27.952649,8000,7382
2025-09-04T13:21:28.136784,8000,7342
2025-09-04T13:21:28.321621,8000,7308
2025-09-04T13:21:28.505604,8000,7240
2025-09-04T13:21:28.691462,8000,7203
2025-09-04T13:21:28.876254,8000,7195
2025-09-04T13:21:29.063508,8000,7195
2025-09-04T13:21:29.247526,8000,7192
2025-09-04T13:21:29.431570,8000,7164
2025-09-04T13:21:29.629431,8000,7152
2025-09-04T13:21:29.814196,8000,7152
2025-09-04T13:21:29.999021,8000,7137
2025-09-04T13:21:30.183578,8000,7134
2025-09-04T13:21:30.368210,8000,7129
2025-09-04T13:21:30.552887,8000,7124
2025-09-04T13:21:30.737125,8000,7119
2025-09-04T13:21:30.922029,8000,7117
2025-09-04T13:21:31.107496,8000,7117
2025-09-04T13:21:31.292106,8000,7117
2025-09-04T13:21:31.476849,8000,7117
2025-09-04T13:21:31.663694,8000,7117
2025-09-04T13:21:31.848364,8000,7117
2025-09-04T13:21:32.032627,8000,7117
2025-09-04T13:21:32.217504,8000,7117
2025-09-04T13:21:32.402217,8000,7117
2025-09-04T13:21:32.586348,8000,7117
2025-09-04T13:21:33.126373,8000,7117
2025-09-04T13:21:33.369183,8000,7117
2025-09-04T13:21:33.553082,8000,7117
2025-09-04T13:21:33.738147,8000,7117
2025-09-04T13:21:33.922040,8000,7117
2025-09-04T13:21:34.106508,8000,7117
2025-09-04T13:21:34.290628,8000,7117
2025-09-04T13:21:34.477337,8000,7113
2025-09-04T13:21:34.661667,8000,7095
2025-09-04T13:21:34.845574,8000,7077
2025-09-04T13:21:35.031193,8000,7062
2025-09-04T13:21:35.215328,8000,7041
2025-09-04T13:21:35.399955,8000,7024
2025-09-04T13:21:35.584161,8000,7010
2025-09-04T13:21:35.768835,8000,6995
2025-09-04T13:21:35.952634,8000,6986
2025-09-04T13:21:36.136783,8000,6976
2025-09-04T13:21:36.372041,8000,6974
2025-09-04T13:21:36.557623,8000,6969
2025-09-04T13:21:36.741832,8000,6963
2025-09-04T13:21:36.926401,8000,6955
2025-09-04T13:21:37.110901,8000,6948
2025-09-04T13:21:37.306878,8000,6945
2025-09-04T13:21:37.495184,8000,6940
2025-09-04T13:21:37.680061,8000,6938
2025-09-04T13:21:37.864846,8000,6930
2025-09-04T13:21:38.048861,8000,6923
