Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-05T13:16:05.186028,8000,8000,0.0
2026-03-05T13:16:05.372709,8000,8000,0.08868567393010957
2026-03-05T13:16:05.559441,8000,8000,0.2340468150004968
2026-03-05T13:16:05.746758,8000,8000,0.42506378841413905
2026-03-05T13:16:05.933477,8000,8000,0.609197839273983
2026-03-05T13:16:06.120813,8000,8000,0.8226571404629608
2026-03-05T13:16:06.308133,8000,8000,1.0292802458588213
2026-03-05T13:16:06.494306,8000,8000,1.2378812160185322
2026-03-05T13:16:06.679995,8000,7993,1.4685035885990974
2026-03-05T13:16:06.866788,8000,7984,1.5387261510572345
2026-03-05T13:16:07.052822,8000,7981,1.5660313371064527
2026-03-05T13:16:07.238130,8000,7974,1.5922888452554025
2026-03-05T13:16:07.423077,8000,7966,1.6157956082934122
2026-03-05T13:16:07.608172,8000,7960,1.6385733205184745
2026-03-05T13:16:07.794825,8000,7954,1.6612847873170453
2026-03-05T13:16:07.980069,8000,7947,1.6877415566451401
2026-03-05T13:16:08.167471,8000,7941,1.7118776825093482
2026-03-05T13:16:08.354739,8000,7927,1.805536860456644
2026-03-05T13:16:08.541094,8000,7885,1.9190288569638374
2026-03-05T13:16:08.728321,8000,7848,2.022909406001892
2026-03-05T13:16:08.913963,8000,7807,2.188670401178488
2026-03-05T13:16:09.100027,8000,7773,2.322408932084952
2026-03-05T13:16:09.285610,8000,7735,2.4820462495322024
2026-03-05T13:16:09.473172,8000,7713,2.595787495510102
2026-03-05T13:16:09.658783,8000,7681,2.7326789540338043
2026-03-05T13:16:09.845576,8000,7656,2.8814544668846254
2026-03-05T13:16:10.031213,8000,7648,3.0260671532837864
2026-03-05T13:16:10.217313,8000,7640,3.162104745085361
2026-03-05T13:16:10.419980,8000,7629,3.2578879742201523
2026-03-05T13:16:10.606223,8000,7622,3.389144129890493
2026-03-05T13:16:10.791842,8000,7611,3.5176448071249213
2026-03-05T13:16:10.978758,8000,7594,3.6527132110810094
2026-03-05T13:16:11.164370,8000,7580,3.7908148200553455
2026-03-05T13:16:11.350883,8000,7562,3.914396216562567
2026-03-05T13:16:11.536084,8000,7524,4.0802717834583335
2026-03-05T13:16:11.721410,8000,7495,4.193521998645156
2026-03-05T13:16:11.906552,8000,7446,4.397060238824917
2026-03-05T13:16:12.091867,8000,7420,4.524593349767753
2026-03-05T13:16:12.277294,8000,7401,4.575280786898375
2026-03-05T13:16:12.462909,8000,7387,4.606129533533048
2026-03-05T13:16:12.648499,8000,7374,4.62986544329698
2026-03-05T13:16:12.834987,8000,7357,4.7126841602511
2026-03-05T13:16:13.021236,8000,7327,4.826852511801726
2026-03-05T13:16:13.206752,8000,7304,4.9788343864669065
2026-03-05T13:16:13.394172,8000,7279,5.0947836334714784
2026-03-05T13:16:13.579189,8000,7252,5.275365751489693
2026-03-05T13:16:13.764938,8000,7233,5.435212206028374
2026-03-05T13:16:13.952329,8000,7222,5.567647688623653
2026-03-05T13:16:14.137767,8000,7213,5.7160177003802355
2026-03-05T13:16:14.323384,8000,7200,5.861081137840187
2026-03-05T13:16:14.511233,8000,7188,5.95865572630438
2026-03-05T13:16:14.697892,8000,7179,6.089728382141903
2026-03-05T13:16:14.885008,8000,7164,6.217667842823326
2026-03-05T13:16:15.071878,8000,7141,6.343504841878179
2026-03-05T13:16:15.260622,8000,7124,6.464367587755615
2026-03-05T13:16:15.446895,8000,7080,6.577033040918746
2026-03-05T13:16:15.645576,8000,7045,6.662072703550351
2026-03-05T13:16:15.833169,8000,7014,6.792397351017153
2026-03-05T13:16:16.019063,8000,6992,6.898635201524682
2026-03-05T13:16:16.209698,8000,6968,7.021875150866345
2026-03-05T13:16:16.395103,8000,6937,7.171593045622085
2026-03-05T13:16:16.582403,8000,6895,7.310495912462281
2026-03-05T13:16:16.767936,8000,6860,7.451206638445536
2026-03-05T13:16:16.953828,8000,6841,7.5540527856373965
2026-03-05T13:16:17.140937,8000,6806,7.7265220377885475
2026-03-05T13:16:17.326527,8000,6765,7.866374003549569
2026-03-05T13:16:17.513016,8000,6735,7.981622355648255
2026-03-05T13:16:17.698164,8000,6697,8.099712395118889
2026-03-05T13:16:17.884029,8000,6659,8.24528389645427
2026-03-05T13:16:18.069179,8000,6630,8.38632746811988
2026-03-05T13:16:18.255204,8000,6612,8.504610249527826
2026-03-05T13:16:18.440488,8000,6577,8.667159181924063
2026-03-05T13:16:18.627242,8000,6552,8.794539943194831
2026-03-05T13:16:18.813212,8000,6529,8.940603272668099
2026-03-05T13:16:18.999570,8000,6516,9.074509586920882
2026-03-05T13:16:19.184949,8000,6501,9.210448858920344
2026-03-05T13:16:19.981384,8000,6476,9.39748132569253
