Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-16T13:32:38.961418,8000,8000,0.02066939524849195
2026-03-16T13:32:39.147049,8000,8000,0.06864517297229601
2026-03-16T13:32:39.335034,8000,8000,0.1089467450139266
2026-03-16T13:32:39.523196,8000,8000,0.14151911964411557
2026-03-16T13:32:39.708569,8000,8000,0.17334001074508298
2026-03-16T13:32:39.893982,8000,8000,0.20950989624877428
2026-03-16T13:32:40.079355,8000,8000,0.24131107998896084
2026-03-16T13:32:40.264667,8000,8000,0.2726758602757469
2026-03-16T13:32:40.449760,8000,8000,0.30375534307249447
2026-03-16T13:32:40.635469,8000,8000,0.33868301261091727
2026-03-16T13:32:40.821117,8000,8000,0.3712564939006204
2026-03-16T13:32:41.006610,8000,8000,0.4058509523839718
2026-03-16T13:32:41.192528,8000,8000,0.4393658565895002
2026-03-16T13:32:41.378786,8000,8000,0.4716536223627739
2026-03-16T13:32:41.563948,8000,8000,0.5032749986383757
2026-03-16T13:32:41.749007,8000,8000,0.538331327852836
2026-03-16T13:32:41.936679,8000,8000,0.5700463234390241
2026-03-16T13:32:42.121876,8000,8000,0.6053032673282546
2026-03-16T13:32:42.306856,8000,8000,0.6370234870593818
2026-03-16T13:32:42.494996,8000,8000,0.6704945698676107
2026-03-16T13:32:42.683558,8000,7993,0.7020791537218282
2026-03-16T13:32:42.868734,8000,7931,0.7337772042184523
2026-03-16T13:32:43.053993,8000,7804,0.7709244914455591
2026-03-16T13:32:43.239349,8000,7663,0.8014744219468407
2026-03-16T13:32:43.425681,8000,7420,0.8327801899855785
2026-03-16T13:32:43.611129,8000,7141,0.8680340075187285
2026-03-16T13:32:43.799324,8000,6908,0.9007462083247242
2026-03-16T13:32:44.665055,8000,5643,0.9448371650832621
2026-03-16T13:32:45.422166,8000,4618,1.1000129125355247
2026-03-16T13:32:46.159184,8000,3893,1.2785710968938546
2026-03-16T13:32:46.804010,8000,3523,1.4751067235088877
2026-03-16T13:32:47.109021,8000,3361,1.5745857027736097
2026-03-16T13:32:48.113638,8000,2763,1.8162775600909526
2026-03-16T13:32:48.298796,8000,2673,1.9110761523142772
2026-03-16T13:32:48.484358,8000,2577,2.0434332467037053
2026-03-16T13:32:48.670754,8000,2458,2.180450630197877
2026-03-16T13:32:49.223130,8000,2170,2.3480788580647327
2026-03-16T13:32:49.408331,8000,2032,2.4948195878534314
2026-03-16T13:32:49.931296,8000,1759,2.6661363219307437
2026-03-16T13:32:50.118420,8000,1669,2.8283531384161886
2026-03-16T13:32:50.304187,8000,1575,2.958184539555505
2026-03-16T13:32:50.489768,8000,1460,3.023969711262698
2026-03-16T13:32:51.003878,8000,1184,3.104278510127615
2026-03-16T13:32:51.484382,8000,1072,3.2862778894071387
2026-03-16T13:32:51.928201,8000,940,3.435498656853477
2026-03-16T13:32:52.349618,8000,804,3.6102536772892204
2026-03-16T13:32:52.535054,8000,747,3.7299567709442947
2026-03-16T13:32:52.936057,8000,745,3.8932252012588373
2026-03-16T13:32:53.310384,8000,745,4.040313119622162
2026-03-16T13:32:53.498499,8000,745,4.191522260754566
2026-03-16T13:32:53.684222,8000,735,4.32444102565005
2026-03-16T13:32:54.089982,8000,710,4.468461406173035
2026-03-16T13:32:54.275121,8000,688,4.6193640813392
2026-03-16T13:32:54.460597,8000,670,4.743073926544463
2026-03-16T13:32:54.834896,8000,645,4.908216461958471
2026-03-16T13:32:55.246223,8000,594,5.053818829221982
2026-03-16T13:32:55.864637,8000,503,5.268532193432126
2026-03-16T13:32:56.049596,8000,461,5.388289740206539
2026-03-16T13:32:56.236318,8000,389,5.529109499304357
2026-03-16T13:32:56.828075,8000,211,5.734056039238495
2026-03-16T13:32:57.013397,8000,153,5.858014200367419
2026-03-16T13:32:57.425017,8000,75,6.014590480422477
2026-03-16T13:32:57.609957,8000,40,6.164569527872914
2026-03-16T13:32:57.935681,8000,26,6.361416410223935
2026-03-16T13:32:58.121037,8000,26,6.51655482129188
2026-03-16T13:32:58.306299,8000,24,6.592130017623278
2026-03-16T13:32:58.657713,8000,0,6.641294540290217
