Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-23T12:43:45.788923,8000,8000,0.03522080689595903
2026-03-23T12:43:45.973957,8000,8000,0.090141300936358
2026-03-23T12:43:46.158945,8000,8000,0.1288395559703394
2026-03-23T12:43:46.345029,8000,8000,0.16677439656754767
2026-03-23T12:43:46.530108,8000,8000,0.1981652548415835
2026-03-23T12:43:46.715323,8000,8000,0.2289832033860365
2026-03-23T12:43:46.900669,8000,8000,0.2643075202020626
2026-03-23T12:43:47.085855,8000,8000,0.2969959402452596
2026-03-23T12:43:47.273058,8000,8000,0.32757755928680454
2026-03-23T12:43:47.461651,8000,8000,0.35974214980642566
2026-03-23T12:43:47.648536,8000,8000,0.39485784810087826
2026-03-23T12:43:47.833593,8000,8000,0.4258916057798252
2026-03-23T12:43:48.018496,8000,8000,0.46092449382867434
2026-03-23T12:43:48.204176,8000,8000,0.4945411961035118
2026-03-23T12:43:48.389947,8000,8000,0.5254791441722153
2026-03-23T12:43:48.575895,8000,8000,0.5572276167431479
2026-03-23T12:43:48.761285,8000,8000,0.5928135651375701
2026-03-23T12:43:48.946566,8000,8000,0.6259718578790803
2026-03-23T12:43:49.133684,8000,8000,0.6604572816485093
2026-03-23T12:43:49.319098,8000,7965,0.6916949320621121
2026-03-23T12:43:49.504307,8000,7928,0.7257813898973408
2026-03-23T12:43:49.689641,8000,7895,0.7575771042393183
2026-03-23T12:43:49.874712,8000,7866,0.7887626949442837
2026-03-23T12:43:50.059890,8000,7839,0.8174248200659329
2026-03-23T12:43:50.246616,8000,7805,0.8563121744380774
2026-03-23T12:43:50.432036,8000,7778,0.8876828079634479
2026-03-23T12:43:50.617860,8000,7754,0.9246877541029738
2026-03-23T12:43:52.169012,8000,7670,0.9961289634025972
2026-03-23T12:43:52.353993,8000,7610,1.122553901659186
2026-03-23T12:43:53.933175,8000,7409,1.2862306995045523
2026-03-23T12:43:54.118616,8000,7367,1.4336163646924405
2026-03-23T12:43:55.693081,8000,7286,1.619742538100181
2026-03-23T12:43:55.878160,8000,7255,1.7213671209096466
2026-03-23T12:43:57.477518,8000,7106,1.9154788118292265
2026-03-23T12:43:57.662986,8000,7106,2.0703387873754746
2026-03-23T12:43:57.848246,8000,7086,2.203646825222212
2026-03-23T12:43:59.436519,8000,6964,2.380194199886604
2026-03-23T12:43:59.621709,8000,6932,2.52051818914593
2026-03-23T12:44:01.187336,8000,6808,2.732638416127981
2026-03-23T12:44:01.372648,8000,6802,2.815706072380652
2026-03-23T12:44:01.557977,8000,6802,2.957152996501867
2026-03-23T12:44:01.744021,8000,6802,3.0857840601922812
2026-03-23T12:44:03.217973,8000,6739,3.259579745142111
2026-03-23T12:44:03.402948,8000,6710,3.4140770729284653
2026-03-23T12:44:03.588529,8000,6669,3.5517805010682424
2026-03-23T12:44:05.053313,8000,6601,3.720870905225718
2026-03-23T12:44:05.238600,8000,6557,3.8781670458935342
2026-03-23T12:44:06.791717,8000,6329,4.082384227839319
2026-03-23T12:44:06.977036,8000,6282,4.203479664597013
2026-03-23T12:44:08.415486,8000,6159,4.38686406612441
2026-03-23T12:44:09.870668,8000,6068,4.568763666441727
2026-03-23T12:44:11.251291,8000,5944,4.758618675793163
2026-03-23T12:44:12.565769,8000,5822,4.938901019050469
2026-03-23T12:44:12.751001,8000,5751,5.074971185092685
2026-03-23T12:44:14.133221,8000,5562,5.2527066233166995
2026-03-23T12:44:14.825958,8000,5498,5.439671069644141
2026-03-23T12:44:15.011449,8000,5468,5.5776475445452
2026-03-23T12:44:15.616666,8000,5439,5.774047062276412
2026-03-23T12:44:16.247227,8000,5365,5.914576191605253
2026-03-23T12:44:16.433191,8000,5338,5.997753917274528
2026-03-23T12:44:17.084083,8000,5269,6.0783932526103355
2026-03-23T12:44:18.157662,8000,5166,6.292883362974068
2026-03-23T12:44:18.343160,8000,5136,6.398571050917385
2026-03-23T12:44:18.888312,8000,5034,6.5778173526819534
2026-03-23T12:44:19.413967,8000,5010,6.7360147112554545
2026-03-23T12:44:19.598986,8000,4969,6.862380482809245
2026-03-23T12:44:20.462347,8000,4827,7.108257505292458
2026-03-23T12:44:20.972451,8000,4757,7.276446273747564
2026-03-23T12:44:21.157161,8000,4729,7.39384912784366
2026-03-23T12:44:21.677702,8000,4638,7.5567009913398655
2026-03-23T12:44:21.865807,8000,4577,7.718476893794012
2026-03-23T12:44:22.051132,8000,4519,7.849984327552919
