Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-24T10:16:35.220305,8000,7926,0.0
2026-03-24T10:16:35.407318,8000,7926,0.0952476034259173
2026-03-24T10:16:35.592716,8000,7926,0.26668880386305704
2026-03-24T10:16:35.778461,8000,7926,0.440384614046616
2026-03-24T10:16:35.963994,8000,7926,0.6349030090214423
2026-03-24T10:16:36.149252,8000,7926,0.8331225110848106
2026-03-24T10:16:36.335063,8000,7926,1.0434302953092545
2026-03-24T10:16:36.520485,8000,7926,1.2863687315307712
2026-03-24T10:16:36.706508,8000,7926,1.495200376065571
2026-03-24T10:16:36.892599,8000,7926,1.7007330123832287
2026-03-24T10:16:37.091115,8000,7872,1.9132893561400148
2026-03-24T10:16:37.276993,8000,7836,1.9716826657832682
2026-03-24T10:16:37.463088,8000,7798,1.998374799902193
2026-03-24T10:16:37.649265,8000,7761,2.020427812203219
2026-03-24T10:16:37.834787,8000,7724,2.0421816852564225
2026-03-24T10:16:38.071084,8000,7671,2.146017289769009
2026-03-24T10:16:38.256086,8000,7616,2.3210327401993744
2026-03-24T10:16:38.441436,8000,7556,2.4737980205282617
2026-03-24T10:16:38.627444,8000,7495,2.6084506371404395
2026-03-24T10:16:38.864275,8000,7432,2.702893114405431
2026-03-24T10:16:39.049167,8000,7381,2.8394147169792765
2026-03-24T10:16:39.234347,8000,7315,2.9875809927545665
2026-03-24T10:16:39.419415,8000,7257,3.1133059750352756
2026-03-24T10:16:39.655895,8000,7196,3.2430615159918648
2026-03-24T10:16:39.841532,8000,7135,3.373931464566887
2026-03-24T10:16:40.027804,8000,7082,3.515858034565553
2026-03-24T10:16:40.263978,8000,7010,3.626099060979462
2026-03-24T10:16:40.449039,8000,6964,3.758536927705831
2026-03-24T10:16:40.634036,8000,6905,3.90907463028908
2026-03-24T10:16:40.869971,8000,6832,4.043271478255111
2026-03-24T10:16:41.055192,8000,6783,4.202186464336785
2026-03-24T10:16:41.240879,8000,6747,4.347630678192104
2026-03-24T10:16:41.426605,8000,6707,4.484466224977079
2026-03-24T10:16:41.611781,8000,6664,4.616523409059118
2026-03-24T10:16:41.796987,8000,6613,4.763613200676546
2026-03-24T10:16:41.982110,8000,6566,4.896579775286035
2026-03-24T10:16:42.167238,8000,6529,5.008883236261064
2026-03-24T10:16:42.352181,8000,6482,5.1484514071845044
2026-03-24T10:16:42.537256,8000,6430,5.296421173828302
2026-03-24T10:16:42.722753,8000,6379,5.432224703287613
