Timestamp,total_particles,particles_remaining,distance_travelled
2026-03-02T13:58:36.247084,8000,8000,0.015045261661241562
2026-03-02T13:58:36.432382,8000,8000,0.14823890355744346
2026-03-02T13:58:36.617319,8000,7998,0.3171003127722847
2026-03-02T13:58:36.802099,8000,7998,0.4224713720243864
2026-03-02T13:58:36.986934,8000,7998,0.6414318669523127
2026-03-02T13:58:37.171868,8000,7998,0.8264584328115223
2026-03-02T13:58:37.356621,8000,7998,1.0166405866996269
2026-03-02T13:58:37.541293,8000,7998,1.2049806228977418
2026-03-02T13:58:37.726413,8000,7998,1.4167936211355994
2026-03-02T13:58:37.911513,8000,7955,1.5213727645233446
2026-03-02T13:58:38.096760,8000,7899,1.547169234834599
2026-03-02T13:58:38.282005,8000,7817,1.5701208094818964
2026-03-02T13:58:38.467309,8000,7748,1.5952771697032653
2026-03-02T13:58:38.652353,8000,7711,1.6209977152139365
2026-03-02T13:58:38.837863,8000,7678,1.6455352554945755
2026-03-02T13:58:39.023733,8000,7656,1.6658769781997587
2026-03-02T13:58:39.208564,8000,7632,1.687958978610065
2026-03-02T13:58:39.393584,8000,7610,1.7136062668163548
2026-03-02T13:58:39.578586,8000,7593,1.7334441966927057
2026-03-02T13:58:39.763757,8000,7574,1.7777226259563474
2026-03-02T13:58:39.948678,8000,7504,1.919904135535043
2026-03-02T13:58:40.133982,8000,7424,2.0728943753306384
2026-03-02T13:58:40.320640,8000,7367,2.172567958846071
2026-03-02T13:58:40.506140,8000,7325,2.3469850061539175
2026-03-02T13:58:40.691696,8000,7276,2.468085316031987
2026-03-02T13:58:40.876735,8000,7211,2.6122028937003208
2026-03-02T13:58:41.061983,8000,7144,2.7298023842399064
2026-03-02T13:58:41.248123,8000,7087,2.8365400921078083
2026-03-02T13:58:41.433468,8000,7015,2.968508235473595
2026-03-02T13:58:41.625250,8000,6946,3.0992012780981626
2026-03-02T13:58:41.811761,8000,6892,3.1958961469831992
2026-03-02T13:58:41.996781,8000,6846,3.347571166108211
2026-03-02T13:58:42.184250,8000,6799,3.4755876411159723
2026-03-02T13:58:42.369291,8000,6752,3.6070480600627324
2026-03-02T13:58:42.554296,8000,6697,3.7520312335871053
2026-03-02T13:58:42.741430,8000,6647,3.855017974901414
2026-03-02T13:58:42.927553,8000,6589,3.984511164655299
2026-03-02T13:58:43.112444,8000,6514,4.12307635412169
2026-03-02T13:58:43.298780,8000,6426,4.252215892358305
2026-03-02T13:58:43.483594,8000,6383,4.402684803747351
2026-03-02T13:58:43.668454,8000,6348,4.5433631483090755
2026-03-02T13:58:43.854113,8000,6298,4.67548986141474
2026-03-02T13:58:44.039365,8000,6228,4.803532420207797
2026-03-02T13:58:44.227189,8000,6153,4.910704785247723
2026-03-02T13:58:44.412040,8000,6079,5.050908670075448
2026-03-02T13:58:44.597298,8000,6020,5.160607883925146
2026-03-02T13:58:44.782338,8000,5960,5.299041343765354
2026-03-02T13:58:44.967171,8000,5919,5.432170228407238
2026-03-02T13:58:45.152063,8000,5896,5.578219690487319
2026-03-02T13:58:45.338808,8000,5889,5.67008460403019
2026-03-02T13:58:45.524105,8000,5833,5.829969506286362
2026-03-02T13:58:45.708850,8000,5763,5.977795741734636
2026-03-02T13:58:45.893785,8000,5689,6.092011025635991
2026-03-02T13:58:46.081241,8000,5579,6.2354961718872985
2026-03-02T13:58:46.266424,8000,5477,6.364459601562026
2026-03-02T13:58:46.451336,8000,5362,6.509475540899593
2026-03-02T13:58:46.636597,8000,5281,6.637943391464631
