Timestamp,total_particles,particles_remaining
2025-09-04T13:09:31.351199,8000,8000
2025-09-04T13:09:31.538277,8000,8000
2025-09-04T13:09:31.724954,8000,8000
2025-09-04T13:09:31.913874,8000,8000
2025-09-04T13:09:32.101092,8000,8000
2025-09-04T13:09:32.287984,8000,8000
2025-09-04T13:09:32.475798,8000,8000
2025-09-04T13:09:32.662500,8000,8000
2025-09-04T13:09:32.849247,8000,7964
2025-09-04T13:09:33.035941,8000,7949
2025-09-04T13:09:33.222875,8000,7929
2025-09-04T13:09:33.409853,8000,7913
2025-09-04T13:09:33.596899,8000,7890
2025-09-04T13:09:33.783372,8000,7868
2025-09-04T13:09:33.969985,8000,7853
2025-09-04T13:09:34.156765,8000,7834
2025-09-04T13:09:34.343480,8000,7815
2025-09-04T13:09:34.529821,8000,7799
2025-09-04T13:09:34.716350,8000,7782
2025-09-04T13:09:34.902824,8000,7768
2025-09-04T13:09:35.090286,8000,7748
2025-09-04T13:09:35.276958,8000,7675
2025-09-04T13:09:35.463665,8000,7623
2025-09-04T13:09:35.651033,8000,7582
2025-09-04T13:09:35.838413,8000,7527
2025-09-04T13:09:36.025564,8000,7498
2025-09-04T13:09:36.212886,8000,7489
2025-09-04T13:09:36.402191,8000,7488
2025-09-04T13:09:36.588723,8000,7488
2025-09-04T13:09:36.776743,8000,7487
2025-09-04T13:09:37.034619,8000,7482
2025-09-04T13:09:37.221130,8000,7476
2025-09-04T13:09:37.409248,8000,7464
2025-09-04T13:09:37.595691,8000,7404
2025-09-04T13:09:37.782163,8000,7257
2025-09-04T13:09:37.968881,8000,7150
2025-09-04T13:09:38.155257,8000,7020
2025-09-04T13:09:38.341767,8000,6824
2025-09-04T13:09:38.528170,8000,6605
2025-09-04T13:09:38.714785,8000,6343
2025-09-04T13:09:38.903045,8000,6044
2025-09-04T13:09:39.090672,8000,5786
2025-09-04T13:09:39.281479,8000,5602
2025-09-04T13:09:39.468699,8000,5371
2025-09-04T13:09:39.655270,8000,5163
2025-09-04T13:09:39.842017,8000,5001
2025-09-04T13:09:40.029769,8000,4947
2025-09-04T13:09:40.216341,8000,4937
2025-09-04T13:09:40.404815,8000,4937
2025-09-04T13:09:40.591697,8000,4861
2025-09-04T13:09:40.778281,8000,4747
2025-09-04T13:09:40.965311,8000,4573
2025-09-04T13:09:41.153761,8000,4417
2025-09-04T13:09:41.341933,8000,4315
2025-09-04T13:09:41.529094,8000,4236
2025-09-04T13:09:41.715849,8000,4208
2025-09-04T13:09:41.903193,8000,4194
2025-09-04T13:09:42.090854,8000,4165
2025-09-04T13:09:42.278507,8000,4127
2025-09-04T13:09:42.485811,8000,4100
2025-09-04T13:09:42.673314,8000,4079
2025-09-04T13:09:42.860851,8000,4062
2025-09-04T13:09:43.047819,8000,4059
2025-09-04T13:09:43.235319,8000,4040
2025-09-04T13:09:43.422864,8000,3947
2025-09-04T13:09:43.610305,8000,3879
2025-09-04T13:09:43.797428,8000,3811
2025-09-04T13:09:43.985384,8000,3726
2025-09-04T13:09:44.172074,8000,3634
2025-09-04T13:09:44.359041,8000,3524
2025-09-04T13:09:44.546139,8000,3399
2025-09-04T13:09:44.732756,8000,3263
2025-09-04T13:09:44.921136,8000,3095
2025-09-04T13:09:45.107810,8000,3010
2025-09-04T13:09:45.294672,8000,2966
2025-09-04T13:09:45.481956,8000,2912
2025-09-04T13:09:45.668783,8000,2871
2025-09-04T13:09:45.855970,8000,2835
2025-09-04T13:09:46.042609,8000,2789
2025-09-04T13:09:46.229793,8000,2738
2025-09-04T13:09:46.417758,8000,2701
2025-09-04T13:09:46.604592,8000,2701
2025-09-04T13:09:46.794517,8000,2701
2025-09-04T13:09:46.981234,8000,2701
2025-09-04T13:09:47.168136,8000,2700
2025-09-04T13:09:47.354725,8000,2692
2025-09-04T13:09:47.541345,8000,2686
2025-09-04T13:09:47.728004,8000,2674
2025-09-04T13:09:47.914952,8000,2650
2025-09-04T13:09:48.101972,8000,2606
2025-09-04T13:09:48.291079,8000,2550
2025-09-04T13:09:48.478873,8000,2509
2025-09-04T13:09:48.665597,8000,2479
2025-09-04T13:09:48.905973,8000,2441
2025-09-04T13:09:49.113776,8000,2405
2025-09-04T13:09:49.304178,8000,2349
2025-09-04T13:09:49.491745,8000,2315
2025-09-04T13:09:49.679417,8000,2298
2025-09-04T13:09:49.867205,8000,2245
2025-09-04T13:09:50.055857,8000,2222
2025-09-04T13:09:50.245311,8000,2218
2025-09-04T13:09:50.436267,8000,2213
2025-09-04T13:09:50.626875,8000,2213
2025-09-04T13:09:50.817420,8000,2213
2025-09-04T13:09:51.007002,8000,2213
2025-09-04T13:09:51.197378,8000,2213
2025-09-04T13:09:51.387217,8000,2213
2025-09-04T13:09:51.577245,8000,2213
2025-09-04T13:09:52.150004,8000,2189
2025-09-04T13:09:52.339076,8000,2133
2025-09-04T13:09:52.527951,8000,2078
2025-09-04T13:09:52.717678,8000,2043
2025-09-04T13:09:52.906446,8000,2006
2025-09-04T13:09:53.096296,8000,1972
2025-09-04T13:09:53.284790,8000,1933
2025-09-04T13:09:53.474072,8000,1905
2025-09-04T13:09:53.663746,8000,1864
2025-09-04T13:09:53.852202,8000,1838
2025-09-04T13:09:54.041839,8000,1817
2025-09-04T13:09:54.231017,8000,1808
2025-09-04T13:09:54.419096,8000,1776
2025-09-04T13:09:54.608376,8000,1750
2025-09-04T13:09:54.796692,8000,1700
2025-09-04T13:09:54.985603,8000,1656
2025-09-04T13:09:55.173637,8000,1586
2025-09-04T13:09:55.393716,8000,1513
2025-09-04T13:09:55.581839,8000,1408
2025-09-04T13:09:55.771554,8000,1293
2025-09-04T13:09:55.959530,8000,1242
2025-09-04T13:09:56.147550,8000,1216
2025-09-04T13:09:56.336241,8000,1213
2025-09-04T13:09:56.524350,8000,1200
2025-09-04T13:09:56.715855,8000,1141
2025-09-04T13:09:56.903501,8000,1046
2025-09-04T13:09:57.093360,8000,984
2025-09-04T13:09:57.283404,8000,946
2025-09-04T13:09:57.472657,8000,853
2025-09-04T13:09:57.660132,8000,804
2025-09-04T13:09:57.847740,8000,754
2025-09-04T13:09:58.036222,8000,717
2025-09-04T13:09:58.223441,8000,686
2025-09-04T13:09:58.411629,8000,628
2025-09-04T13:09:58.599921,8000,573
2025-09-04T13:09:58.839229,8000,493
2025-09-04T13:09:59.026789,8000,473
2025-09-04T13:09:59.214585,8000,426
2025-09-04T13:09:59.401891,8000,422
2025-09-04T13:09:59.589260,8000,422
2025-09-04T13:10:00.184756,8000,422
2025-09-04T13:10:00.372099,8000,422
2025-09-04T13:10:00.559316,8000,422
2025-09-04T13:10:00.746122,8000,407
2025-09-04T13:10:00.950989,8000,378
2025-09-04T13:10:01.139003,8000,356
2025-09-04T13:10:01.326911,8000,311
2025-09-04T13:10:01.518081,8000,289
2025-09-04T13:10:01.705034,8000,253
2025-09-04T13:10:01.914004,8000,209
2025-09-04T13:10:02.102880,8000,201
2025-09-04T13:10:02.289699,8000,185
2025-09-04T13:10:02.479700,8000,141
2025-09-04T13:10:02.667445,8000,136
2025-09-04T13:10:02.856332,8000,99
2025-09-04T13:10:03.043896,8000,83
2025-09-04T13:10:03.231501,8000,80
2025-09-04T13:10:03.419765,8000,67
2025-09-04T13:10:03.632875,8000,49
2025-09-04T13:10:03.820237,8000,40
2025-09-04T13:10:04.009948,8000,24
2025-09-04T13:10:04.197002,8000,10
2025-09-04T13:10:04.389949,8000,2
