Timestamp,particles_remaining,distance_travelled
0.61838698387146,7994,0.0
4.7912585735321045,7772,0.8770137272960082
4.843719482421875,7755,0.8842915021299421
5.721604585647583,7529,1.544877280783239
6.35103964805603,7496,2.0090100631107553
6.9606032371521,7374,2.427657370110168
8.251466274261475,7189,3.330089906270597
8.45071268081665,7171,3.4206646947280053
8.710795640945435,7130,3.571392408001745
8.970320701599121,7107,3.688724519123518
9.270702123641968,7049,3.86263459020828
10.050792217254639,6925,4.376945829373061
10.597635984420776,6846,4.735475808492561
11.350501537322998,6670,5.2640629052841055
11.817518949508667,6637,5.550049941984492
11.972607374191284,6637,5.613355302112387
12.478597640991211,6628,5.944920973877764
13.029093503952026,6616,6.331000976269429
13.031333684921265,6616,6.331000976269429
13.04894733428955,6616,6.331000976269429
15.097392320632935,5904,7.889837362609096
15.478970289230347,5847,8.191504332651059
16.25220251083374,5828,8.735499396773406
17.64212989807129,5790,9.722905500400934
18.62138056755066,5379,10.484492233025229
20.136221408843994,5179,11.672309758842289
20.640143871307373,5102,11.97604836886531
20.99994468688965,5032,12.174665772527124
21.40093731880188,4936,12.421492898497753
22.028069496154785,4823,12.814900978995142
22.923187732696533,4615,13.552716526660836
23.571370363235474,4399,14.086682919658308
24.3842191696167,4232,14.695433913544932
25.588672637939453,3952,15.675249420787779
25.96918749809265,3873,15.935874144076982
26.410655736923218,3831,16.202884568858646
27.058327674865723,3765,16.65317421470204
28.269034147262573,3638,17.523255979392868
29.024490356445312,3518,18.106128798809397
30.4564266204834,3404,19.17628531113044
30.735434770584106,3377,19.333668023903154
30.909671306610107,3360,19.42886399454147
31.063563585281372,3346,19.49122090289961
31.5878963470459,3289,19.80444107663693
32.46219873428345,3175,20.416219275041012
32.94615316390991,3067,20.80862042065068
33.512978076934814,3063,21.230095747707015
34.65662860870361,2995,22.180066778389286
35.039125204086304,2995,22.4091526401612
36.15047812461853,2936,23.19077582470491
36.15589714050293,2936,23.19077582470491
36.16067576408386,2936,23.19077582470491
37.75685381889343,2925,24.344399344874418
37.80797815322876,2922,24.3646097058444
37.85972571372986,2920,24.38349384874507
37.9117169380188,2920,24.390420912329635
38.047202825546265,2916,24.467276492109505
38.26267910003662,2916,24.543705960495306
38.26450991630554,2916,24.543705960495306
38.27077913284302,2916,24.543705960495306
38.879175901412964,2908,24.969809782532597
38.93017339706421,2905,24.995071997014588
38.98255443572998,2904,25.00825406368007
39.116135120391846,2902,25.06939037291387
39.29040241241455,2901,25.124187530617416
39.29300618171692,2901,25.124187530617416
39.29988384246826,2901,25.126825314625783
42.07245874404907,2838,27.218894643218416
42.12364673614502,2838,27.233097855929024
42.257070779800415,2838,27.318118492468653
42.261369466781616,2838,27.318118492468653
42.278833627700806,2838,27.327419842392764
45.08993887901306,2472,29.57537405515419
45.22335696220398,2446,29.630753618679282
46.579246282577515,2062,30.584402224830676
47.16537690162659,1824,31.096615142576223
47.87474298477173,1638,31.624668810069263
48.72887325286865,1512,32.23776919511505
49.419185400009155,1399,32.76367562942728
49.69652271270752,1348,32.94144772262917
49.912359952926636,1322,33.05575596319076
50.19076657295227,1281,33.21582698621763
50.96129393577576,1171,33.74531425544746
52.52306246757507,877,34.849908284003654
53.46303606033325,663,35.60052287964153
55.39495587348938,572,37.0792781764198
55.63178372383118,571,37.210430950516475
56.590280294418335,571,37.84439493205569
57.05266761779785,500,38.22138610058832
57.494622230529785,437,38.56523758843525
58.18510699272156,367,39.06900550574422
59.26573586463928,338,39.83196233632603
60.736849308013916,144,40.86302776230274
61.40902614593506,103,41.42589214494615
61.412614822387695,103,41.42589214494615
61.41638207435608,103,41.42589214494615
61.902488470077515,91,41.74769147651251
61.90606379508972,91,41.7547998128161
61.90994381904602,91,41.7547998128161
65.17994928359985,81,44.34321549347834
65.27203345298767,81,44.401586978386746
65.3231749534607,81,44.417397529893435
65.45838618278503,81,44.48700127498212
65.61191320419312,81,44.55523690839032
65.76571607589722,81,44.61696242513031
65.81714510917664,80,44.634906618927445
65.81949830055237,80,44.634906618927445
65.82411336898804,80,44.634906618927445
65.97788000106812,79,44.71266002307387
66.04944133758545,79,44.745107519926734
66.10062551498413,79,44.763041955832854
66.1722309589386,79,44.785307592020004
66.30559277534485,79,44.8825818080176
66.62548995018005,79,45.00041852383664
66.62681841850281,79,45.00041852383664
66.6308205127716,79,45.00041852383664
66.7638955116272,79,45.05949871624317
66.83834409713745,79,45.08003056328171
66.84126114845276,79,45.08003056328171
66.84571957588196,79,45.08003056328171
67.39052200317383,79,45.5099775996385
67.3955626487732,79,45.5099775996385
67.39931535720825,79,45.5099775996385
67.94550466537476,63,45.88405854040484
67.99957299232483,63,45.899859193755994
68.05445671081543,63,45.911547465939236
68.16908693313599,63,45.95889209192028
68.2209370136261,63,45.98867622593306
68.35511779785156,63,46.02273202444395
68.35932207107544,63,46.03909815343438
