Timestamp,particles_remaining,distance_travelled
6.486112356185913,7011,1.1161713013153873
8.055519342422485,6055,1.4823603972840846
9.3413667678833,5303,1.9731520342586537
10.211594581604004,4656,2.174155715194931
10.54202675819397,4370,2.2504381454278652
11.679364919662476,3383,2.712587821697092
12.627175331115723,2565,3.0414700714456484
13.307510137557983,2087,3.179803372357586
14.640548706054688,1678,3.54831263368331
15.458688259124756,1096,3.87663338209643
16.530890703201294,855,4.307024107091823
17.10183882713318,711,4.475237433336762
17.503060817718506,590,4.571729178697287
19.021272659301758,271,5.0531719994732995
19.574690580368042,119,5.2567648292147675
19.91394352912903,103,5.329897799904066
20.85002040863037,43,5.777197409206303
21.040318727493286,42,5.837941409501878
21.306430101394653,42,5.868780702710677
21.777411937713623,28,6.099550709920195
22.187955617904663,0,6.2579847384483624
