Timestamp,particles_remaining,distance_travelled
9.79827880859375,6096,1.031898518421072
11.08887767791748,4518,1.1932952050083538
12.198673009872437,3797,1.404187492987907
13.246546268463135,3154,1.6535580794183644
14.401481866836548,2255,1.9951796747657313
15.34445858001709,1761,2.2935244464628664
20.682865142822266,1157,2.8224885905354458
21.517235040664673,929,3.1397372312563414
22.048418045043945,818,3.286746597489982
22.490501642227173,681,3.4591480535579753
22.94989538192749,551,3.5905084788262625
23.50908374786377,491,3.812980677682509
24.082293033599854,413,4.038393257697676
25.063026189804077,346,4.435345170608626
25.835654497146606,346,4.768340505100065
26.77733874320984,270,5.153423583349173
27.474441528320312,156,5.445552113067112
28.02979016304016,75,5.692500686917073
28.785144090652466,0,6.101839216621446
